"name";"type";"url";"likely_already_qms";"likely_qms_layers";"overlay";"license_url";"attribution_text";"attribution_url";"available_projections";"id"
"Benin: Cotonou Pleiade 2016";"tms";"http://geoxxx.agrocampus-ouest.fr/owsifl/gwc/service/wmts?SERVICE=WMTS&REQUEST=GetTile&VERSION=1.0.0&LAYER=Benin:cotonou_pleiade_2016&STYLE=&FORMAT=image/jpeg&tileMatrixSet=EPSG:3857&tileMatrix=EPSG:3857:{zoom}&tileRow={y}&tileCol={x}";"False";"[]";"";"http://taches.francophonelibre.org/project/6";"";"";"";"Benin_cotonou_pleiade_2016"
"imagico.de OSM images for mapping: Cotonou";"tms";"http://imagico.de/map/osmim_tiles.php?layer=S2A_R022_N06_20151221T103009&z={zoom}&x={x}&y={-y}";"False";"[]";"";"";"imagico.de OSM images for mapping";"http://maps.imagico.de/#osmim";"";"osmim-imagicode-S2A_R022_N06_20151221T103009"
"imagico.de OSM images for mapping: Fogo, Cape Verde";"tms";"http://imagico.de/map/osmim_tiles.php?layer=LC82100502015347LGN00&z={zoom}&x={x}&y={-y}";"False";"[]";"";"";"imagico.de OSM images for mapping";"http://maps.imagico.de/#osmim";"";"osmim-imagicode-LC82100502015347LGN00"
"imagico.de OSM images for mapping: Rwenzori Mountains";"tms";"http://imagico.de/map/osmim_tiles.php?layer=LC81730602015040LGN00&z={zoom}&x={x}&y={-y}";"False";"[]";"";"";"imagico.de OSM images for mapping";"http://maps.imagico.de/#osmim";"";"osmim-imagicode-LC81730602015040LGN00"
"South Africa CD:NGI Aerial";"tms";"http://{switch:a,b,c}.aerial.openstreetmap.org.za/ngi-aerial/{zoom}/{x}/{y}.jpg";"False";"[]";"";"";"";"";"";"South_Africa-CD_NGI-Aerial"
"City of Cape Town 2013 Aerial";"tms";"http://{switch:a,b,c}.coct.aerial.openstreetmap.org.za/layer/za_coct_aerial_2013/{zoom}/{x}/{y}.jpg";"False";"[]";"";"";"City of Cape Town Aerial - OPENSTREETMAP USE ONLY";"https://www.capetown.gov.za";"";"South_Africa-CapeTown-Aerial-2013"
"City of Cape Town 2015 Aerial";"tms";"http://{switch:a,b,c}.coct.aerial.openstreetmap.org.za/layer/za_coct_aerial_2015/{zoom}/{x}/{y}.jpg";"False";"[]";"";"";"City of Cape Town Aerial - OPENSTREETMAP USE ONLY";"https://www.capetown.gov.za";"";"South_Africa-CapeTown-Aerial"
"imagico.de OSM images for mapping: Southern Transantarctic Mountains";"tms";"http://imagico.de/map/osmim_tiles.php?layer=LC80281222016035LGN00&z={zoom}&x={x}&y={-y}";"False";"[]";"";"";"imagico.de OSM images for mapping";"http://maps.imagico.de/#osmim";"";"osmim-imagicode-LC80281222016035LGN00"
"imagico.de OSM images for mapping: Pensacola Mountains";"tms";"http://imagico.de/map/osmim_tiles.php?layer=LC81511242016033LGN00&z={zoom}&x={x}&y={-y}";"False";"[]";"";"";"imagico.de OSM images for mapping";"http://maps.imagico.de/#osmim";"";"osmim-imagicode-LC81511242016033LGN00"
"imagico.de OSM images for mapping: Elephant Island/Clarence Island";"tms";"http://imagico.de/map/osmim_tiles.php?layer=S2A_R009_S61_20160109&z={zoom}&x={x}&y={-y}";"False";"[]";"";"";"imagico.de OSM images for mapping";"http://maps.imagico.de/#osmim";"";"osmim-imagicode-S2A_R009_S61_20160109"
"Cambodia, Laos, Thailand, Vietnam, Myanmar bilingual";"tms";"http://{switch:a,b,c,d}.tile.osm-tools.org/osm_then/{zoom}/{x}/{y}.png";"False";"[]";"";"";"© osm-tools.org & OpenStreetMap contributors, CC-BY-SA";"http://www.osm-tools.org/";"";"osm-cambodia_laos_thailand_vietnam-bilingual"
"imagico.de OSM images for mapping: Southeastern Sulawesi";"tms";"http://imagico.de/map/osmim_tiles.php?layer=LC81130622013270LGN00&z={zoom}&x={x}&y={-y}";"False";"[]";"";"";"imagico.de OSM images for mapping";"http://maps.imagico.de/#osmim";"";"osmim-imagicode-LC81130622013270LGN00"
"imagico.de OSM images for mapping: Bakun Reservoir";"tms";"http://imagico.de/map/osmim_tiles.php?layer=LC81190582014075LGN00&z={zoom}&x={x}&y={-y}";"False";"[]";"";"";"imagico.de OSM images for mapping";"http://maps.imagico.de/#osmim";"";"osmim-imagicode-LC81190582014075LGN00"
"imagico.de OSM images for mapping: Batam";"tms";"http://imagico.de/map/osmim_tiles.php?layer=LC81250592016107LGN00&z={zoom}&x={x}&y={-y}";"False";"[]";"";"";"imagico.de OSM images for mapping";"http://maps.imagico.de/#osmim";"";"osmim-imagicode-LC81250592016107LGN00"
